node_id,lat,lon,street_count,highway
1213325811,-23.9121895,29.4848357,3,none
1215745441,-23.8973111,29.4773819,3,none
1215745444,-23.8978298,29.4766456,3,none
1215745455,-23.8932345,29.4805189,1,none
1215745459,-23.8936558,29.4798975,3,none
1215745466,-23.8949174,29.4812746,3,none
1215745470,-23.8938361,29.4809825,1,turning_circle
1215745476,-23.8983387,29.4752944,3,none
1215745485,-23.8954278,29.47868,3,none
1215745497,-23.8952785,29.4807444,3,none
1215751781,-23.8841271,29.4913453,3,none
1215751786,-23.8816782,29.4913562,3,none
1215751789,-23.8828582,29.4921179,3,none
1215751790,-23.8804197,29.4883078,3,none
1215751797,-23.8825087,29.4865557,3,none
1215751799,-23.8818131,29.4921514,3,none
1215751803,-23.8856985,29.4902562,3,none
1215751804,-23.8876495,29.4871468,3,none
1215751806,-23.8814881,29.485983,3,none
1215751810,-23.8906218,29.4879742,3,none
1215751811,-23.8862652,29.4933489,4,stop
1215751820,-23.8832393,29.4881861,3,none
1215751822,-23.8834484,29.4943288,3,none
1215751828,-23.8820449,29.4862518,4,none
1215751830,-23.8951716,29.4819802,3,none
1215751835,-23.8964007,29.4802207,3,none
1215751836,-23.8811404,29.4892627,3,none
1215751839,-23.888891,29.488399,3,none
1215751840,-23.885663,29.4870863,4,none
1215751842,-23.8812749,29.4907845,3,none
1215751843,-23.8881982,29.4892523,3,none
1215751845,-23.8969862,29.4820771,3,none
1215751846,-23.8857188,29.4888,3,none
1215751854,-23.8849477,29.4913668,3,none
1215751856,-23.8828744,29.4931054,3,none
1215751857,-23.8807856,29.4887909,3,none
1215751859,-23.8865255,29.4936192,3,none
1215751862,-23.8841226,29.4902447,3,none
1215751864,-23.887491,29.490085,3,none
1215751868,-23.88364,29.489088,3,none
1215751870,-23.882195,29.489549,3,none
1215751875,-23.8836498,29.4902502,3,none
1215751876,-23.8962823,29.4829235,3,none
1215751879,-23.8814021,29.4888966,3,none
1215751881,-23.8976692,29.4812711,3,none
1215752544,-23.8875589,29.4900114,4,none
1215752545,-23.8868744,29.4888556,3,none
1215752547,-23.8857487,29.4870239,3,none
1215752551,-23.8881586,29.4909644,4,none
1215758919,-23.8805569,29.4372198,4,none
1215758924,-23.883599,29.4381331,4,none
1215758932,-23.8820688,29.4376858,4,none
1215758934,-23.8982859,29.460901,3,none
1215758938,-23.8769594,29.4514301,4,none
1215758939,-23.8788062,29.4570816,3,none
1215758940,-23.8790392,29.4367652,3,none
1215758953,-23.8757696,29.4561857,4,none
1215758954,-23.8928296,29.4526177,3,none
1215758956,-23.8754534,29.4509787,3,none
1215758958,-23.8799855,29.4523656,3,none
1215758960,-23.8742389,29.4556952,4,none
1215758961,-23.8784794,29.4518988,4,stop
1215758962,-23.8772846,29.4566513,4,stop
1215758963,-23.8838953,29.4382256,3,none
1215770831,-23.9080669,29.4348679,3,none
1215770834,-23.9195759,29.4481538,3,none
1215770835,-23.9087838,29.4337933,3,none
1215770844,-23.9223197,29.4333226,3,none
1215770869,-23.9084425,29.4343152,3,none
1215770875,-23.9070169,29.4354482,3,none
1215770893,-23.9059588,29.4345121,3,none
1215770919,-23.9073835,29.4358445,3,none
1225091199,-23.9055922,29.4961131,3,none
1225091205,-23.905134,29.4948689,3,none
1225091216,-23.9060956,29.4902188,3,none
1225091219,-23.9131813,29.4831781,3,none
1225091225,-23.9040278,29.4974636,3,none
1225091238,-23.9058313,29.4931901,3,none
1225091240,-23.9054626,29.4940401,3,none
1225091242,-23.903438,29.4992338,3,none
1225091247,-23.9047698,29.4957161,4,none
1225091251,-23.9135447,29.48212,4,stop
1225091256,-23.9023507,29.4941115,3,none
1225091267,-23.9085752,29.4914635,3,none
1225091270,-23.907869,29.4931459,3,none
1225091278,-23.9036734,29.4983165,3,none
1293229424,-23.9368667,29.4746799,3,none
1304069161,-23.9161714,29.4459877,3,none
1304069171,-23.9192593,29.4483151,4,none
1304069182,-23.9175819,29.4475711,4,none
1304069184,-23.9182739,29.4479915,3,none
1304076522,-23.917309,29.443387,3,none
1304076525,-23.9157846,29.4458733,3,none
1304076533,-23.9166647,29.4439532,3,none
1304076538,-23.9180332,29.4426247,3,none
1304076553,-23.9200969,29.4440514,4,none
1304076555,-23.9162615,29.4444164,3,none
1304076558,-23.9189126,29.4455935,3,none
1304085723,-23.9191456,29.4436517,3,none
1304096122,-23.9207311,29.4408122,3,none
1304096126,-23.9193686,29.4409613,3,none
1318495007,-23.8907871,29.4701528,3,none
1318504914,-23.9084112,29.4740155,3,none
1318504915,-23.9095118,29.47427,3,none
1318504929,-23.8948791,29.4765269,4,none
1318504951,-23.9106075,29.4745329,3,none
1318504954,-23.8941562,29.4729781,3,mini_roundabout
1318504957,-23.9099557,29.4778875,3,none
1318504958,-23.9077537,29.4773483,3,none
1318504989,-23.9088461,29.4776219,3,none
1318507187,-23.9064333,29.4836502,3,none
1318507193,-23.9081918,29.4784235,3,none
1318507194,-23.9106888,29.480001,3,none
1318507197,-23.9076127,29.4819979,3,none
1318507199,-23.9052918,29.4840606,4,none
1318507202,-23.9103167,29.4819417,4,none
1318507203,-23.9044949,29.4835871,3,none
1318507205,-23.9089589,29.4800077,3,none
1318507208,-23.907842,29.4800936,3,none
1318507209,-23.9090355,29.4786298,3,none
1318507211,-23.9067263,29.4819443,4,none
1318507212,-23.905819,29.4818826,3,none
1318507215,-23.9104773,29.4810632,4,none
1318507217,-23.9092814,29.4842617,4,stop
1318507219,-23.9099741,29.4848075,3,none
1318507220,-23.9066711,29.4828536,3,none
1318507221,-23.9076912,29.4810913,3,none
1318507224,-23.9100636,29.4829595,3,none
1318507225,-23.9086831,29.4851549,3,none
1318507226,-23.9061537,29.4845286,4,none
1318509939,-23.9123746,29.4789469,3,none
1318509948,-23.9019839,29.4772317,3,none
1318509950,-23.9115703,29.4823158,3,none
1318509956,-23.9043722,29.4787348,1,none
1318509957,-23.908023,29.4880284,3,none
1318509964,-23.9052906,29.4782449,3,none
1318509966,-23.9061415,29.4865926,3,none
1318509977,-23.9085508,29.4869924,3,none
1318509984,-23.9076471,29.4889281,3,none
1318509992,-23.9036501,29.4842952,3,none
1318510000,-23.9057026,29.4889998,3,none
1318510003,-23.9123758,29.4826792,3,none
1318510006,-23.9094185,29.4856603,3,none
1318510013,-23.9060495,29.4881281,3,none
1318510014,-23.9061035,29.4874763,3,none
1318510015,-23.9101559,29.4862393,3,none
1318513917,-23.9125389,29.4892131,3,none
1318513918,-23.9102027,29.4878753,3,none
1318513928,-23.9142908,29.4883186,4,none
1318513929,-23.915974,29.4880396,4,none
1318513935,-23.9111829,29.4863639,3,none
1318513937,-23.9104731,29.4903611,3,none
1318513943,-23.9151048,29.4881777,4,none
1318513944,-23.9164828,29.4824512,3,stop
1318513949,-23.9149197,29.4932793,3,none
1318513951,-23.9168101,29.4879203,4,none
1318513958,-23.9177339,29.4879095,3,stop
1318513959,-23.9121429,29.4922198,3,none
1318513962,-23.9163933,29.4863994,3,none
1318513965,-23.9134191,29.4885036,3,none
1318513967,-23.9126799,29.4840766,3,none
1318517561,-23.9025638,29.4960996,3,none
1318517562,-23.9008792,29.4967461,3,none
1318517564,-23.902768,29.4951515,3,none
1318517565,-23.9023799,29.4970679,3,none
1318517567,-23.9010753,29.4957657,3,none
1318523779,-23.9094083,29.5000009,3,none
1318523799,-23.9070034,29.4988328,3,none
1318523803,-23.9057234,29.4981904,3,none
1318523818,-23.9063745,29.4985157,3,none
1318523834,-23.9073822,29.4960755,3,none
1318523836,-23.9100317,29.5003188,4,none
1318523838,-23.908219,29.499439,3,none
1318523860,-23.908817,29.4997115,3,none
1318523863,-23.9078825,29.4984519,3,none
1318523867,-23.9078849,29.4965536,3,none
1318523869,-23.9076023,29.4991359,3,none
1318529822,-23.91152,29.497985,1,turning_circle
1318529823,-23.910434,29.4986878,4,none
1318529824,-23.9117358,29.4959481,3,none
1318529839,-23.9111584,29.4979531,3,none
1318529842,-23.9082117,29.4923224,3,none
1318529856,-23.9110799,29.4948336,3,none
1318529867,-23.9113172,29.5005796,1,turning_circle
1318529870,-23.9074987,29.4939727,3,none
1318529871,-23.9110566,29.5002577,3,none
1318529873,-23.9107158,29.4966146,3,none
1318529874,-23.9111106,29.4986491,4,none
1318529875,-23.9097184,29.497143,3,none
1318529878,-23.9103174,29.4996469,3,none
1318533491,-23.9133407,29.5016632,3,none
1318533498,-23.9147444,29.5019601,1,turning_circle
1318533500,-23.9127546,29.5001981,3,none
1318533502,-23.9139812,29.5017618,3,none
1318533503,-23.9149602,29.5012775,1,turning_circle
1318533514,-23.9141755,29.4995648,3,none
1318533516,-23.9140481,29.5010202,3,none
1318533523,-23.9141069,29.5002665,3,none
1318533526,-23.9166446,29.5003134,3,none
1318533527,-23.912811,29.4994993,3,none
1318533535,-23.9121233,29.4993411,3,none
1318535092,-23.9142969,29.4980724,3,none
1318535104,-23.9154328,29.4976513,3,none
1318535120,-23.913809,29.4971035,3,none
1318535123,-23.9136134,29.4978672,3,none
1318535126,-23.9172086,29.4981784,3,none
1318566556,-23.9088314,29.4829729,3,none
1318566584,-23.9087848,29.4839372,3,none
1318571622,-23.9002526,29.4684434,3,none
1318571625,-23.8997487,29.4708735,3,none
1318642409,-23.8832453,29.5000255,3,none
1318642415,-23.8831941,29.499302,3,none
1318642445,-23.883252,29.4994404,3,none
1318642464,-23.8827241,29.5001184,3,none
1318642479,-23.8839705,29.5010278,3,none
1318642482,-23.8826995,29.4999405,3,none
1318664028,-23.9276698,29.4502359,3,none
1318717538,-23.9143595,29.480404,3,none
1318717541,-23.9161015,29.4854794,3,none
1318717572,-23.9168567,29.4852112,3,none
1323343811,-23.8895991,29.4780912,3,none
1323343812,-23.8880807,29.4783907,1,none
1323343858,-23.8823887,29.4836402,3,none
1323343859,-23.8878434,29.4781652,1,none
1323343872,-23.8881534,29.47875,3,none
1323343933,-23.8885573,29.4788001,1,none
1323343935,-23.8890181,29.4754607,4,none
1323343946,-23.8879557,29.4785217,3,none
1323343949,-23.8883251,29.4785415,1,none
1323343990,-23.8904068,29.4770312,3,none
1323344054,-23.8884233,29.4790106,3,none
1327001065,-23.9218548,29.4525199,3,none
1327001121,-23.9224033,29.4524788,3,none
1327390492,-23.9162005,29.4443699,3,none
1327390673,-23.9269104,29.4375564,3,none
1327390685,-23.9143692,29.4424642,4,none
1327390922,-23.9302073,29.440706,3,none
1327391051,-23.9302103,29.4406617,3,none
1327750390,-23.9235801,29.472723,3,none
1327750426,-23.9216481,29.4680398,3,none
1327750427,-23.9221137,29.46991,3,none
1327750443,-23.923164,29.4635009,3,none
1327750457,-23.9217166,29.4682291,3,none
1327750464,-23.9234415,29.4726413,3,none
1327750485,-23.9228632,29.4718679,3,none
1327750517,-23.9229007,29.4718269,3,none
1327750536,-23.9216417,29.4681714,3,none
1327750553,-23.9271589,29.4682531,3,none
1327750568,-23.9218445,29.4681326,3,none
