step,direction
18,Continue on Webster Street [tertiary | 128 m | speed limit 60 km/h]
19,Continue on Webster Street [tertiary | 125 m | speed limit 60 km/h]
20,Continue on Webster Street [tertiary | 125 m | speed limit 60 km/h]
21,Continue on Webster Street [tertiary | 126 m | speed limit 60 km/h]
22,Continue on Webster Street [tertiary | 124 m | speed limit 60 km/h]
23,Continue on Webster Street [tertiary | 125 m | speed limit 60 km/h]
24,Take Marshall Street [tertiary | 241 m | speed limit 60 km/h]
25,Continue on Marshall Street [tertiary | 134 m | speed limit 60 km/h]
26,Continue on Marshall Street [tertiary | 66 m | speed limit 60 km/h]
27,Continue on Marshall Street [tertiary | 235 m | speed limit 60 km/h]
28,Take Kiepersol Avenue [residential | 102 m | speed limit 45 km/h]
29,Take Erasmus Street [residential | 115 m | speed limit 45 km/h]
30,Continue on Erasmus Street [residential | 107 m | speed limit 45 km/h]
31,Take Palm Street [residential | 512 m | speed limit 60 km/h]
32,Take Acacia Avenue [residential | 92 m | speed limit 45 km/h]
--,--
